value,category,var
UNICRASPUNS,ID,1
INSTITUT,ID,0
CODADRESA,ID,1
UTILIZATOR,ID,0
TEL,ID,0
DATAP,ID,0
G01,G,1
G02,G,1
G03,G,1
G04,G,1
G05,G,1
G06,G,1
G07,G,0
G08_A,G,0
G08_B,NA,0
G08_C,NA,0
G09A,G,0
G09A_alt,NA,0
G09B,NA,0
G09B_alt,NA,0
G09C,NA,0
G10A,G,0
G10B,NA,0
G11A,G,0
G11B,G,0
G11C,G,0
G11D,G,0
RS01A,W,1
RS01B,W,1
RS01C,W,1
RS01D,W,1
RS01E,W,1
RS02A,W,1
RS02B,W,1
RS02C,W,1
RS02D,W,1
RS02E,W,1
RS02F,W,1
RS02G,W,1
RS02H,W,1
RS02I,W,1
RS02J,W,1
RS03A,W,1
RS03B,W,1
RS03C,W,1
RS03D,W,1
RS03E,W,1
RS03F,W,1
RS04A,W,1
RS04B,W,1
RS05,W,1
RS06A,W,1
RS06B,W,1
RS06C,W,1
RS07A,W,1
RS07B,W,1
RS07C,W,1
ED01A,W,0
ED01B,W,0
ED01C,W,0
ED02A,W,0
ED02B,W,0
ED02C,W,0
ED02D,W,0
ED02E,W,0
ED02F,W,0
ED03A,W,0
ED03B,W,0
ED03C,W,0
ED03D,W,0
PS03A,W,1
PS03B,W,1
PS03C,W,1
PS03D,W,1
PS03E,W,1
EF02,W,1
A02,W,1
A02_alt,NA,0
A03,W,1
A03_alt,NA,0
H01A,W,1
H01B,W,1
H04,W,1
SES01,DEMOG,1
SES02,NA,0
AGE,DEMOG,1
AGEGRUP,NA,0
SES03,DEMOG,1
SES03A,DEMOG,1
SES03B,DEMOG,1
SES03C,DEMOG,1
SES04,DEMOG,1
SES05,DEMOG,1
SES05_alt,NA,0
SES06,DEMOG,1
SES06_alt,NA,0
SES07,DEMOG,1
SES08A,DEMOG,1
SES08B,DEMOG,1
SES08C,DEMOG,1
SES09,DEMOG,1
SES10A,DEMOG,1
SES10B,DEMOG,1
SES11A,DEMOG,1
SES11B,DEMOG,1
SES11C,DEMOG,1
SES11D,DEMOG,1
SES12,DEMOG,1
SES12_alt,NA,0
LOC,DEMOG,1
JUD,DEMOG,1
REG,DEMOG,1
TS_G01,NA,0
TS_END,NA,0
TIME,ID,1
male,DEMOG,1
agec,DEMOG,1
educ,DEMOG,1
ocstat,DEMOG,1
etn,DEMOG,1
hsize,DEMOG,1
hkids,DEMOG,1
urban,DEMOG,1
regdev,DEMOG,1
wgt_con,DEMOG,1
weight,ID,1
PS01A,W,1
PS01B,W,1
PS02A,W,1
PS02B,W,1
PS02C,W,1
PS02D,W,1
PS04A,W,1
PS04B,W,1
PS04C,W,1
PS04D,W,1
PS05A,W,1
PS05B,W,1
PS05C,W,1
PS05D,W,1
PS05E,W,1
EF01A,W,1
EF01B,W,1
EF01C,W,1
EF01D,W,1
EF01E,W,1
EF03,W,1
EF04A,W,1
EF04B,W,1
SJ01A,W,1
SJ01B,W,1
SJ01C,W,1
E01A,W,1
E01B,W,1
E01C,W,1
E01D,W,1
E01E,W,1
E01F,W,1
E01G,W,1
A01,W,1
A04A,W,1
A04B,W,1
A04C,W,1
A04D,W,1
CAP1,W,1
CAP2A,W,1
CAP2B,W,1
CAP2C,W,1
CAP2D,W,1
CAP2E,W,1
CAP2F,W,1
CAP2G,W,1
CAP2H,W,1
H02,W,1
H03a,W,1
H03,W,1
H05,W,1
H05_alt,NA,0
SES03_old,NA,0
wave,ID,1
